home_id,timestamp,hvac_condenser_kw,hvac_fan_kw,total_home_power_kw,solar_generation_kw
1,2018-08-23 00:00:00+00:00,3.802,0.639,3.339,1.556
1,2018-08-23 00:01:00+00:00,3.804,0.642,3.358,1.536
1,2018-08-23 00:02:00+00:00,3.789,0.641,3.365,1.512
1,2018-08-23 00:03:00+00:00,3.788,0.642,3.38,1.49
1,2018-08-23 00:04:00+00:00,3.784,0.643,3.532,1.467
1,2018-08-23 00:05:00+00:00,3.787,0.645,3.572,1.44
1,2018-08-23 00:06:00+00:00,3.78,0.645,3.574,1.414
1,2018-08-23 00:07:00+00:00,3.78,0.645,3.593,1.393
1,2018-08-23 00:08:00+00:00,3.777,0.645,3.61,1.384
1,2018-08-23 00:09:00+00:00,3.765,0.645,3.63,1.361
1,2018-08-23 00:10:00+00:00,3.773,0.644,3.643,1.345
1,2018-08-23 00:11:00+00:00,3.766,0.644,3.642,1.329
1,2018-08-23 00:12:00+00:00,3.767,0.644,3.66,1.306
1,2018-08-23 00:13:00+00:00,3.775,0.644,3.702,1.278
1,2018-08-23 00:14:00+00:00,3.766,0.643,3.733,1.247
1,2018-08-23 00:15:00+00:00,3.762,0.644,3.736,1.214
1,2018-08-23 00:16:00+00:00,3.762,0.644,3.779,1.18
1,2018-08-23 00:17:00+00:00,3.763,0.645,3.824,1.141
1,2018-08-23 00:18:00+00:00,3.762,0.644,3.855,1.104
1,2018-08-23 00:19:00+00:00,3.758,0.644,3.882,1.071
1,2018-08-23 00:20:00+00:00,3.754,0.644,3.893,1.038
1,2018-08-23 00:21:00+00:00,3.757,0.645,3.957,1.004
1,2018-08-23 00:22:00+00:00,3.751,0.645,3.984,0.969
1,2018-08-23 00:23:00+00:00,3.75,0.646,4.019,0.937
1,2018-08-23 00:24:00+00:00,3.744,0.645,4.05,0.896
1,2018-08-23 00:25:00+00:00,3.741,0.644,4.205,0.739
1,2018-08-23 00:26:00+00:00,3.744,0.645,4.426,0.524
1,2018-08-23 00:27:00+00:00,3.742,0.644,4.591,0.348
1,2018-08-23 00:28:00+00:00,3.736,0.645,4.633,0.301
1,2018-08-23 00:29:00+00:00,3.738,0.645,4.597,0.327
1,2018-08-23 00:30:00+00:00,3.73,0.645,4.611,0.321
1,2018-08-23 00:31:00+00:00,3.729,0.644,4.646,0.291
1,2018-08-23 00:32:00+00:00,3.728,0.645,4.777,0.252
1,2018-08-23 00:33:00+00:00,3.729,0.646,4.849,0.23
1,2018-08-23 00:34:00+00:00,3.723,0.646,4.797,0.212
1,2018-08-23 00:35:00+00:00,3.718,0.646,4.734,0.19
1,2018-08-23 00:36:00+00:00,3.716,0.647,4.726,0.168
1,2018-08-23 00:37:00+00:00,3.713,0.645,4.82,0.153
1,2018-08-23 00:38:00+00:00,3.713,0.644,4.869,0.145
1,2018-08-23 00:39:00+00:00,3.711,0.645,4.839,0.138
1,2018-08-23 00:40:00+00:00,3.706,0.645,4.806,0.163
1,2018-08-23 00:41:00+00:00,3.699,0.644,4.696,0.257
1,2018-08-23 00:42:00+00:00,3.69,0.646,4.534,0.322
1,2018-08-23 00:43:00+00:00,3.688,0.646,4.562,0.314
1,2018-08-23 00:44:00+00:00,3.691,0.645,4.579,0.297
1,2018-08-23 00:45:00+00:00,3.7,0.646,4.606,0.276
1,2018-08-23 00:46:00+00:00,3.675,0.645,4.567,0.252
1,2018-08-23 00:47:00+00:00,3.673,0.643,4.576,0.229
1,2018-08-23 00:48:00+00:00,3.67,0.645,4.581,0.208
1,2018-08-23 00:49:00+00:00,3.664,0.645,4.684,0.183
1,2018-08-23 00:50:00+00:00,3.669,0.644,4.748,0.146
1,2018-08-23 00:51:00+00:00,3.667,0.644,4.784,0.11
1,2018-08-23 00:52:00+00:00,3.655,0.644,4.787,0.094
1,2018-08-23 00:53:00+00:00,3.648,0.643,4.794,0.079
1,2018-08-23 00:54:00+00:00,3.644,0.644,4.802,0.067
1,2018-08-23 00:55:00+00:00,3.641,0.644,4.813,0.054
1,2018-08-23 00:56:00+00:00,3.637,0.645,4.821,0.041
1,2018-08-23 00:57:00+00:00,3.633,0.644,4.827,0.03
1,2018-08-23 00:58:00+00:00,3.625,0.644,4.83,0.019
1,2018-08-23 00:59:00+00:00,3.629,0.645,4.845,0.008
1,2018-08-23 01:00:00+00:00,3.628,0.65,4.856,0.002
1,2018-08-23 01:01:00+00:00,3.623,0.649,4.856,-0.003
1,2018-08-23 01:02:00+00:00,3.626,0.649,4.862,-0.008
1,2018-08-23 01:03:00+00:00,3.625,0.649,4.864,-0.011
1,2018-08-23 01:04:00+00:00,3.621,0.649,4.864,-0.014
1,2018-08-23 01:05:00+00:00,3.609,0.65,4.854,-0.016
1,2018-08-23 01:06:00+00:00,3.61,0.65,4.863,-0.018
1,2018-08-23 01:07:00+00:00,3.603,0.651,4.858,-0.019
1,2018-08-23 01:08:00+00:00,3.604,0.651,4.858,-0.02
1,2018-08-23 01:09:00+00:00,3.6,0.652,4.855,-0.021
1,2018-08-23 01:10:00+00:00,3.596,0.652,4.852,-0.021
1,2018-08-23 01:11:00+00:00,3.587,0.652,4.842,-0.022
1,2018-08-23 01:12:00+00:00,3.589,0.651,4.841,-0.022
1,2018-08-23 01:13:00+00:00,3.586,0.651,4.838,-0.022
1,2018-08-23 01:14:00+00:00,3.585,0.649,4.836,-0.022
1,2018-08-23 01:15:00+00:00,3.578,0.651,4.829,-0.021
1,2018-08-23 01:16:00+00:00,3.572,0.651,4.822,-0.021
1,2018-08-23 01:17:00+00:00,3.58,0.652,4.831,-0.022
1,2018-08-23 01:18:00+00:00,3.575,0.652,4.825,-0.021
1,2018-08-23 01:19:00+00:00,3.573,0.652,4.823,-0.021
1,2018-08-23 01:20:00+00:00,3.565,0.652,4.728,-0.022
1,2018-08-23 01:21:00+00:00,3.572,0.652,4.703,-0.022
1,2018-08-23 01:22:00+00:00,3.567,0.653,4.699,-0.023
1,2018-08-23 01:23:00+00:00,3.551,0.653,4.684,-0.023
1,2018-08-23 01:24:00+00:00,3.543,0.652,4.648,-0.023
1,2018-08-23 01:25:00+00:00,3.546,0.652,4.554,-0.023
1,2018-08-23 01:26:00+00:00,3.549,0.653,4.642,-0.023
1,2018-08-23 01:27:00+00:00,3.542,0.653,4.667,-0.023
1,2018-08-23 01:28:00+00:00,3.538,0.652,4.641,-0.01
1,2018-08-23 01:29:00+00:00,3.536,0.655,4.629,0.001
