time,temperature_2m,relative_humidity_2m,cloud_cover,location
2018-08-23T00:00,37.1,30,68,austin
2018-08-23T01:00,35.7,34,32,austin
2018-08-23T02:00,34.6,37,31,austin
2018-08-23T03:00,34.0,37,55,austin
2018-08-23T04:00,33.3,39,60,austin
2018-08-23T05:00,32.4,43,14,austin
2018-08-23T06:00,31.2,49,2,austin
2018-08-23T07:00,30.6,56,1,austin
2018-08-23T08:00,29.9,59,0,austin
2018-08-23T09:00,29.3,60,0,austin
2018-08-23T10:00,28.7,62,0,austin
2018-08-23T11:00,28.0,65,0,austin
2018-08-23T12:00,27.0,70,0,austin
2018-08-23T13:00,27.6,68,3,austin
2018-08-23T14:00,29.2,60,31,austin
2018-08-23T15:00,31.4,50,19,austin
2018-08-23T16:00,33.7,41,35,austin
2018-08-23T17:00,35.2,36,72,austin
2018-08-23T18:00,36.4,32,14,austin
2018-08-23T19:00,37.2,30,23,austin
2018-08-23T20:00,37.7,28,9,austin
2018-08-23T21:00,38.1,27,6,austin
2018-08-23T22:00,38.2,26,5,austin
2018-08-23T23:00,37.9,27,13,austin
2018-08-24T00:00,36.2,30,14,austin
2018-08-24T01:00,35.7,30,43,austin
2018-08-24T02:00,34.2,37,15,austin
2018-08-24T03:00,33.3,39,6,austin
2018-08-24T04:00,32.4,42,33,austin
2018-08-24T05:00,30.6,54,72,austin
2018-08-24T06:00,29.6,59,77,austin
2018-08-24T07:00,28.7,61,75,austin
2018-08-24T08:00,28.0,63,72,austin
2018-08-24T09:00,27.4,71,48,austin
2018-08-24T10:00,26.9,76,48,austin
2018-08-24T11:00,26.5,79,51,austin
2018-08-24T12:00,26.1,84,11,austin
2018-08-24T13:00,26.7,80,21,austin
2018-08-24T14:00,28.2,68,35,austin
2018-08-24T15:00,30.0,56,36,austin
2018-08-24T16:00,32.1,46,56,austin
2018-08-24T17:00,34.0,39,82,austin
2018-08-24T18:00,35.7,33,90,austin
2018-08-24T19:00,37.1,29,93,austin
2018-08-24T20:00,38.2,26,91,austin
2018-08-24T21:00,38.9,24,87,austin
2018-08-24T22:00,39.0,23,93,austin
2018-08-24T23:00,38.6,24,93,austin
2018-08-25T00:00,36.7,32,58,austin
2018-08-25T01:00,35.3,36,8,austin
2018-08-25T02:00,34.4,38,5,austin
2018-08-25T03:00,33.7,40,34,austin
2018-08-25T04:00,31.0,56,3,austin
2018-08-25T05:00,30.0,59,2,austin
2018-08-25T06:00,29.0,63,1,austin
2018-08-25T07:00,28.3,66,0,austin
2018-08-25T08:00,27.7,69,1,austin
2018-08-25T09:00,27.1,73,3,austin
2018-08-25T10:00,26.6,78,14,austin
2018-08-25T11:00,26.3,81,46,austin
2018-08-25T12:00,26.5,84,45,austin
2018-08-25T13:00,26.9,82,37,austin
2018-08-25T14:00,28.3,74,57,austin
2018-08-25T15:00,29.4,67,39,austin
2018-08-25T16:00,31.2,58,27,austin
2018-08-25T17:00,32.5,52,34,austin
2018-08-25T18:00,33.8,46,60,austin
2018-08-25T19:00,34.7,42,32,austin
2018-08-25T20:00,35.2,40,20,austin
2018-08-25T21:00,36.1,37,39,austin
2018-08-25T22:00,35.9,36,48,austin
2018-08-25T23:00,35.7,36,20,austin
