time,temperature_2m,relative_humidity_2m,cloud_cover,location
2011-12-01T00:00,9.4,76,100,london
2011-12-01T01:00,9.6,84,100,london
2011-12-01T02:00,10.3,89,99,london
2011-12-01T03:00,10.8,85,72,london
2011-12-01T04:00,10.1,84,27,london
2011-12-01T05:00,10.0,84,45,london
2011-12-01T06:00,10.2,86,66,london
2011-12-01T07:00,10.6,85,85,london
2011-12-01T08:00,10.4,86,99,london
2011-12-01T09:00,10.3,84,99,london
2011-12-01T10:00,10.1,78,99,london
2011-12-01T11:00,10.3,67,95,london
2011-12-01T12:00,10.2,63,98,london
2011-12-01T13:00,10.0,61,100,london
2011-12-01T14:00,9.6,64,100,london
2011-12-01T15:00,9.0,68,99,london
2011-12-01T16:00,8.4,81,100,london
2011-12-01T17:00,7.8,82,100,london
2011-12-01T18:00,7.1,88,100,london
2011-12-01T19:00,7.0,91,100,london
2011-12-01T20:00,6.8,91,100,london
2011-12-01T21:00,6.6,91,100,london
2011-12-01T22:00,6.4,89,100,london
2011-12-01T23:00,6.1,89,100,london
2011-12-02T00:00,5.8,90,95,london
2011-12-02T01:00,5.7,91,85,london
2011-12-02T02:00,5.4,92,59,london
2011-12-02T03:00,5.1,93,39,london
2011-12-02T04:00,4.5,94,4,london
2011-12-02T05:00,3.6,95,1,london
2011-12-02T06:00,2.9,96,0,london
2011-12-02T07:00,2.2,96,1,london
2011-12-02T08:00,1.7,97,2,london
2011-12-02T09:00,2.3,97,0,london
2011-12-02T10:00,4.2,93,0,london
2011-12-02T11:00,5.5,89,93,london
2011-12-02T12:00,6.5,85,100,london
2011-12-02T13:00,6.8,82,100,london
2011-12-02T14:00,6.7,83,51,london
2011-12-02T15:00,6.5,83,53,london
2011-12-02T16:00,5.8,85,99,london
2011-12-02T17:00,5.1,87,100,london
2011-12-02T18:00,4.8,88,61,london
2011-12-02T19:00,5.7,85,92,london
2011-12-02T20:00,6.3,81,58,london
2011-12-02T21:00,6.8,79,45,london
2011-12-02T22:00,6.9,81,78,london
2011-12-02T23:00,7.2,83,100,london
2011-12-03T00:00,8.0,84,100,london
2011-12-03T01:00,9.1,86,100,london
2011-12-03T02:00,9.8,88,100,london
2011-12-03T03:00,10.0,89,100,london
2011-12-03T04:00,10.0,89,100,london
2011-12-03T05:00,10.1,91,100,london
2011-12-03T06:00,10.2,91,93,london
2011-12-03T07:00,10.4,91,74,london
2011-12-03T08:00,9.9,90,90,london
2011-12-03T09:00,9.9,87,95,london
2011-12-03T10:00,9.8,85,50,london
2011-12-03T11:00,10.1,78,30,london
2011-12-03T12:00,10.1,73,22,london
2011-12-03T13:00,10.2,67,19,london
2011-12-03T14:00,9.9,70,18,london
2011-12-03T15:00,9.3,71,21,london
2011-12-03T16:00,8.7,72,9,london
2011-12-03T17:00,7.9,76,2,london
2011-12-03T18:00,7.2,79,1,london
2011-12-03T19:00,7.0,84,11,london
2011-12-03T20:00,6.8,86,29,london
2011-12-03T21:00,6.9,86,46,london
2011-12-03T22:00,6.9,88,87,london
2011-12-03T23:00,7.7,86,88,london
2011-12-04T00:00,8.1,85,90,london
2011-12-04T01:00,8.0,82,86,london
2011-12-04T02:00,7.7,80,78,london
2011-12-04T03:00,7.1,80,83,london
2011-12-04T04:00,6.7,80,88,london
2011-12-04T05:00,6.4,80,93,london
2011-12-04T06:00,6.1,80,97,london
2011-12-04T07:00,6.3,78,98,london
2011-12-04T08:00,6.3,79,99,london
2011-12-04T09:00,6.7,80,98,london
2011-12-04T10:00,7.4,78,99,london
2011-12-04T11:00,8.0,78,98,london
2011-12-04T12:00,8.5,77,100,london
2011-12-04T13:00,8.6,76,100,london
2011-12-04T14:00,8.3,77,97,london
2011-12-04T15:00,8.0,78,95,london
2011-12-04T16:00,7.4,80,94,london
2011-12-04T17:00,7.1,81,93,london
2011-12-04T18:00,6.6,81,97,london
2011-12-04T19:00,6.4,84,85,london
2011-12-04T20:00,5.4,86,12,london
2011-12-04T21:00,4.4,88,6,london
2011-12-04T22:00,3.8,88,7,london
2011-12-04T23:00,3.2,88,1,london
2011-12-05T00:00,2.8,87,2,london
2011-12-05T01:00,2.5,86,19,london
2011-12-05T02:00,2.3,86,0,london
2011-12-05T03:00,2.2,85,0,london
2011-12-05T04:00,2.1,86,0,london
2011-12-05T05:00,2.0,85,0,london
2011-12-05T06:00,1.9,84,0,london
2011-12-05T07:00,2.2,79,0,london
2011-12-05T08:00,2.2,79,0,london
2011-12-05T09:00,2.9,77,5,london
2011-12-05T10:00,4.1,73,34,london
2011-12-05T11:00,5.3,70,84,london
2011-12-05T12:00,6.0,67,79,london
2011-12-05T13:00,6.3,63,80,london
2011-12-05T14:00,6.2,63,76,london
2011-12-05T15:00,5.9,64,81,london
2011-12-05T16:00,5.1,65,13,london
2011-12-05T17:00,4.5,67,6,london
2011-12-05T18:00,4.0,68,6,london
2011-12-05T19:00,3.8,77,17,london
2011-12-05T20:00,3.3,80,27,london
2011-12-05T21:00,2.8,82,12,london
2011-12-05T22:00,2.4,85,28,london
2011-12-05T23:00,2.2,85,26,london
2011-12-06T00:00,2.1,85,4,london
2011-12-06T01:00,2.0,85,1,london
2011-12-06T02:00,2.1,84,4,london
2011-12-06T03:00,2.4,80,28,london
2011-12-06T04:00,2.8,78,39,london
2011-12-06T05:00,2.8,80,21,london
2011-12-06T06:00,3.0,80,7,london
2011-12-06T07:00,2.6,86,0,london
2011-12-06T08:00,2.4,85,0,london
2011-12-06T09:00,2.9,82,0,london
2011-12-06T10:00,4.1,78,10,london
2011-12-06T11:00,5.3,73,63,london
2011-12-06T12:00,6.1,70,88,london
2011-12-06T13:00,6.3,69,100,london
2011-12-06T14:00,6.2,70,97,london
2011-12-06T15:00,5.9,72,98,london
2011-12-06T16:00,5.3,76,99,london
2011-12-06T17:00,4.8,80,94,london
2011-12-06T18:00,4.7,82,66,london
2011-12-06T19:00,5.0,86,6,london
2011-12-06T20:00,4.7,88,13,london
2011-12-06T21:00,4.5,90,12,london
2011-12-06T22:00,4.4,91,55,london
2011-12-06T23:00,4.7,90,75,london
2011-12-07T00:00,5.3,91,81,london
2011-12-07T01:00,6.0,90,99,london
2011-12-07T02:00,6.5,89,100,london
2011-12-07T03:00,6.8,88,96,london
2011-12-07T04:00,7.3,85,98,london
2011-12-07T05:00,7.4,83,53,london
2011-12-07T06:00,7.2,79,49,london
2011-12-07T07:00,6.6,78,14,london
2011-12-07T08:00,5.8,77,0,london
2011-12-07T09:00,5.8,74,0,london
2011-12-07T10:00,6.4,68,0,london
2011-12-07T11:00,7.2,63,0,london
2011-12-07T12:00,7.7,58,0,london
2011-12-07T13:00,7.7,54,2,london
2011-12-07T14:00,7.5,55,4,london
2011-12-07T15:00,7.1,55,2,london
