user_id,transformer_id,appliance,appliance_kw,transformer_rated_kva,transformer_loading_percent,num_simultaneous_restarts,flexibility_score,carbon_priority_weight,cost_priority_weight,rebound_risk_score,stagger_label
user_003,XFMR_AUS_001,ev_charger,5.819,25,45.44,2,0.32,0.26,0.74,0.3361,medium_delay
user_003,XFMR_AUS_001,ev_charger,8.912,25,109.18,6,0.32,0.26,0.74,0.6507,long_delay
user_003,XFMR_AUS_001,ev_charger,8.715,25,101.58,5,0.32,0.26,0.74,0.666,long_delay
user_003,XFMR_AUS_001,ev_charger,7.579,25,102.12,1,0.32,0.26,0.74,0.5136,long_delay
user_003,XFMR_AUS_001,ev_charger,5.128,25,53.12,4,0.32,0.26,0.74,0.3913,medium_delay
user_003,XFMR_AUS_001,ev_charger,5.86,25,60.02,2,0.32,0.26,0.74,0.4101,medium_delay
user_003,XFMR_AUS_001,ev_charger,5.403,25,100.22,1,0.32,0.26,0.74,0.3914,medium_delay
user_003,XFMR_AUS_001,ev_charger,8.703,25,100.62,3,0.32,0.26,0.74,0.5691,long_delay
user_003,XFMR_AUS_001,ev_charger,5.338,25,83.92,4,0.32,0.26,0.74,0.5143,long_delay
user_003,XFMR_AUS_001,ev_charger,5.315,25,72.71,7,0.32,0.26,0.74,0.4782,long_delay
user_003,XFMR_AUS_001,ev_charger,7.098,25,46.82,6,0.32,0.26,0.74,0.4688,long_delay
user_003,XFMR_AUS_001,ev_charger,8.951,25,106.53,5,0.32,0.26,0.74,0.62,long_delay
user_003,XFMR_AUS_001,ev_charger,8.598,25,47.9,5,0.32,0.26,0.74,0.451,long_delay
user_003,XFMR_AUS_001,ev_charger,8.206,25,48.87,4,0.32,0.26,0.74,0.4018,medium_delay
user_003,XFMR_AUS_001,ev_charger,6.423,25,106.25,3,0.32,0.26,0.74,0.5918,long_delay
user_003,XFMR_AUS_001,ev_charger,9.07,25,75.53,6,0.32,0.26,0.74,0.5894,long_delay
user_003,XFMR_AUS_001,ev_charger,6.647,25,56.43,6,0.32,0.26,0.74,0.4941,long_delay
user_003,XFMR_AUS_001,ev_charger,7.814,25,119.56,3,0.32,0.26,0.74,0.6412,long_delay
user_003,XFMR_AUS_001,ev_charger,6.269,25,101.49,4,0.32,0.26,0.74,0.5939,long_delay
user_003,XFMR_AUS_001,ev_charger,6.62,25,80.37,5,0.32,0.26,0.74,0.4723,long_delay
user_003,XFMR_AUS_001,ev_charger,5.124,25,103.93,6,0.32,0.26,0.74,0.5389,long_delay
user_003,XFMR_AUS_001,ev_charger,7.412,25,75.17,2,0.32,0.26,0.74,0.4026,medium_delay
user_003,XFMR_AUS_001,ev_charger,5.77,25,106.63,5,0.32,0.26,0.74,0.571,long_delay
user_003,XFMR_AUS_001,ev_charger,7.266,25,59.41,5,0.32,0.26,0.74,0.4873,long_delay
user_003,XFMR_AUS_001,ev_charger,6.483,25,78.51,7,0.32,0.26,0.74,0.5305,long_delay
user_003,XFMR_AUS_001,ev_charger,8.757,25,100.12,3,0.32,0.26,0.74,0.5765,long_delay
user_003,XFMR_AUS_001,ev_charger,5.982,25,110.67,4,0.32,0.26,0.74,0.5904,long_delay
user_003,XFMR_AUS_001,ev_charger,5.745,25,71.67,6,0.32,0.26,0.74,0.4986,long_delay
user_003,XFMR_AUS_001,ev_charger,5.66,25,49.7,2,0.32,0.26,0.74,0.3105,medium_delay
user_003,XFMR_AUS_001,ev_charger,7.877,25,93.45,4,0.32,0.26,0.74,0.5895,long_delay
user_003,XFMR_AUS_001,ev_charger,6.354,25,99.01,1,0.32,0.26,0.74,0.4302,medium_delay
user_003,XFMR_AUS_001,ev_charger,7.282,25,116.79,7,0.32,0.26,0.74,0.6457,long_delay
user_003,XFMR_AUS_001,ev_charger,9.111,25,110.42,3,0.32,0.26,0.74,0.5997,long_delay
user_003,XFMR_AUS_001,ev_charger,7.419,25,120.64,5,0.32,0.26,0.74,0.7159,long_delay
user_003,XFMR_AUS_001,ev_charger,8.98,25,77.84,4,0.32,0.26,0.74,0.4781,long_delay
user_003,XFMR_AUS_001,ev_charger,8.979,25,68.69,6,0.32,0.26,0.74,0.5662,long_delay
user_003,XFMR_AUS_001,ev_charger,6.821,25,58.6,1,0.32,0.26,0.74,0.3697,medium_delay
user_003,XFMR_AUS_001,ev_charger,9.067,25,86.48,5,0.32,0.26,0.74,0.597,long_delay
user_003,XFMR_AUS_001,ev_charger,5.389,25,67.76,4,0.32,0.26,0.74,0.4109,medium_delay
user_003,XFMR_AUS_001,ev_charger,5.666,25,117.36,1,0.32,0.26,0.74,0.5226,long_delay
user_003,XFMR_AUS_001,dishwasher,0.938,25,72.35,6,0.32,0.26,0.74,0.4085,medium_delay
user_003,XFMR_AUS_001,dishwasher,1.484,25,95.11,7,0.32,0.26,0.74,0.4779,long_delay
user_003,XFMR_AUS_001,dishwasher,1.491,25,98.08,2,0.32,0.26,0.74,0.415,medium_delay
user_003,XFMR_AUS_001,dishwasher,1.283,25,116.24,4,0.32,0.26,0.74,0.5625,long_delay
user_003,XFMR_AUS_001,dishwasher,1.591,25,106.65,4,0.32,0.26,0.74,0.5267,long_delay
user_003,XFMR_AUS_001,dishwasher,1.649,25,72.39,2,0.32,0.26,0.74,0.3139,medium_delay
user_003,XFMR_AUS_001,dishwasher,0.951,25,109.62,3,0.32,0.26,0.74,0.4971,long_delay
user_003,XFMR_AUS_001,dishwasher,1.097,25,98.48,7,0.32,0.26,0.74,0.5427,long_delay
user_003,XFMR_AUS_001,dishwasher,1.345,25,96.41,4,0.32,0.26,0.74,0.486,long_delay
user_003,XFMR_AUS_001,dishwasher,1.043,25,67.53,6,0.32,0.26,0.74,0.3736,medium_delay
user_003,XFMR_AUS_001,dishwasher,1.104,25,103.31,1,0.32,0.26,0.74,0.3876,medium_delay
user_003,XFMR_AUS_001,dishwasher,1.301,25,100.67,7,0.32,0.26,0.74,0.4882,long_delay
user_003,XFMR_AUS_001,dishwasher,0.961,25,89.31,3,0.32,0.26,0.74,0.408,medium_delay
user_003,XFMR_AUS_001,dishwasher,1.319,25,90.28,2,0.32,0.26,0.74,0.3753,medium_delay
user_003,XFMR_AUS_001,dishwasher,1.193,25,77.12,3,0.32,0.26,0.74,0.3673,medium_delay
user_003,XFMR_AUS_001,dishwasher,1.529,25,62.05,3,0.32,0.26,0.74,0.3248,medium_delay
user_003,XFMR_AUS_001,dishwasher,1.107,25,76.96,3,0.32,0.26,0.74,0.3799,medium_delay
user_003,XFMR_AUS_001,dishwasher,1.228,25,114.78,3,0.32,0.26,0.74,0.4564,long_delay
user_003,XFMR_AUS_001,dishwasher,1.093,25,82.02,5,0.32,0.26,0.74,0.4328,medium_delay
user_003,XFMR_AUS_001,dishwasher,1.297,25,85.32,6,0.32,0.26,0.74,0.4165,medium_delay
user_003,XFMR_AUS_001,dishwasher,0.957,25,76.72,3,0.32,0.26,0.74,0.3629,medium_delay
user_003,XFMR_AUS_001,dishwasher,1.167,25,69.01,4,0.32,0.26,0.74,0.3865,medium_delay
user_003,XFMR_AUS_001,dishwasher,1.599,25,118.23,2,0.32,0.26,0.74,0.5586,long_delay
user_003,XFMR_AUS_001,dishwasher,1.391,25,66.85,5,0.32,0.26,0.74,0.3918,medium_delay
user_003,XFMR_AUS_001,dishwasher,1.368,25,78.73,5,0.32,0.26,0.74,0.4279,medium_delay
user_003,XFMR_AUS_001,dishwasher,1.654,25,52.4,2,0.32,0.26,0.74,0.2983,short_delay
user_003,XFMR_AUS_001,dishwasher,1.186,25,69.57,7,0.32,0.26,0.74,0.4714,long_delay
user_003,XFMR_AUS_001,dishwasher,1.295,25,117.08,2,0.32,0.26,0.74,0.4499,medium_delay
user_003,XFMR_AUS_001,dishwasher,1.518,25,82.98,2,0.32,0.26,0.74,0.3795,medium_delay
user_003,XFMR_AUS_001,dishwasher,0.991,25,118.98,3,0.32,0.26,0.74,0.5069,long_delay
