transformer_id,region,grid_region,primary_voltage_kv,secondary_voltage_v,phase_config,mounting_type,rated_kva,connected_household_count,connected_user_ids,avg_connected_load_kw,diversity_factor,coincident_peak_kw,power_factor,loading_percent,install_year,age_years,failure_risk_score,status
XFMR_AUS_001,Austin_TX,ERCOT,12.47,240,1-phase,pole_mounted,25,7,"user_004,user_028,user_003,user_013,user_019,user_007,user_046",6.78,0.71,21.06,0.96,87.8,2023,3,0.09,high_load
XFMR_AUS_002,Austin_TX,ERCOT,12.47,240,1-phase,pole_mounted,15,5,"user_048,user_041,user_025,user_022,user_031",2.27,0.6,6.14,0.96,42.6,2005,21,0.262,normal
XFMR_AUS_003,Austin_TX,ERCOT,12.47,240,1-phase,pad_mounted,15,3,"user_020,user_027,user_002",3.32,0.56,7.57,0.97,52.0,2010,16,0.186,normal
XFMR_AUS_004,Austin_TX,ERCOT,12.47,240,1-phase,pole_mounted,25,8,"user_047,user_008,user_038,user_033,user_014,user_042,user_011,user_023",5.98,0.7,16.8,0.97,69.3,2007,19,0.208,normal
XFMR_AUS_005,Austin_TX,ERCOT,12.47,240,1-phase,pole_mounted,25,7,"user_010,user_037,user_030,user_005,user_036,user_040,user_006",4.61,0.74,15.0,0.94,63.8,2017,9,0.106,normal
XFMR_AUS_006,Austin_TX,ERCOT,12.47,240,1-phase,pad_mounted,15,1,user_024,0.33,0.67,1.21,0.94,8.6,2007,19,0.23,normal
XFMR_LON_007,London_UK,GB,11.0,400,3-phase,underground_vault,15,3,"user_001,user_009,user_016",3.89,0.7,11.23,0.95,78.8,2019,7,0.091,normal
XFMR_LON_008,London_UK,GB,11.0,400,3-phase,underground_vault,15,6,"user_049,user_000,user_045,user_017,user_029,user_032",4.1,0.61,13.34,0.95,93.6,2023,3,0.11,high_load
XFMR_LON_009,London_UK,GB,11.0,400,3-phase,underground_vault,15,4,"user_021,user_035,user_026,user_034",1.74,0.59,5.12,0.95,35.9,2016,10,0.135,normal
XFMR_LON_010,London_UK,GB,11.0,400,3-phase,pad_mounted,15,5,"user_039,user_018,user_044,user_012,user_015",3.5,0.63,10.65,0.95,74.7,2007,19,0.222,normal
XFMR_LON_011,London_UK,GB,11.0,400,3-phase,underground_vault,15,1,user_043,0.49,0.69,1.82,0.96,12.6,2013,13,0.154,normal
